date, maus, revenue, costs
2012-06-30, 955.0, 1184.0, 1930.0
2012-09-30, 1010.0, 1262.0, 885.0
2012-12-31, 1060.0, 1585.0, 1060.0 
2013-03-31, 1110.0, 1458.0, 1080.0
2013-06-30, 1150.0, 1813.0, 1250.0
2013-09-30, 1190.0, 2016.0, 1280.0
2013-12-31, 1230.0, 2585.0, 1450.0
2014-03-31, 1280.0, 2502.0, 1430.0
2014-06-30, 1320.0, 2910.0, 1520.0
2014-09-30, 1350.0, 3203.0, 1810.0
2014-12-31, 1390.0, 3851.0, 2720.0
2015-03-31, 1440.0, 3543.0, 2610.0
2015-06-30, 1490.0, 4042.0, 2769.0
2015-09-30, 1550.0, 4501.0, 3042.0
2015-12-31, 1590.0, 5841.0, 3281.0
